deprel1,deprel2,overlap_count
nmod,obl,16
conj,nmod,14
conj,obl,12
nsubj,obl,11
obj,obl,11
nmod,nsubj,10
nmod,obj,9
nsubj,obj,9
conj,root,9
advmod,fixed,8
conj,nsubj,8
acl,root,8
amod,conj,7
acl,conj,7
conj,obj,7
fixed,nsubj,6
advmod,case,5
fixed,mark,5
fixed,obl,5
case,fixed,5
advmod,cc,5
fixed,nmod,5
det,nmod,5
nmod,punct,5
det,fixed,5
advmod,punct,5
advmod,mark,5
case,mark,5
amod,nmod,4
conj,parataxis,4
conj,fixed,4
case,punct,4
conj,flat,4
det,obl,4
acl,advcl,4
advcl,root,4
fixed,obj,4
cc,fixed,4
amod,root,4
root,xcomp,3
conj,xcomp,3
advcl,conj,3
flat,nmod,3
conj,det,3
amod,obl,3
flat,obl,3
expl:poss,expl:pv,3
expl:pv,iobj,3
expl:poss,iobj,3
nmod,parataxis,3
expl:pv,obj,3
advmod,det,3
amod,xcomp,3
conj,punct,3
acl,aux:pass,3
iobj,obj,3
nsubj,nummod,3
nummod,parataxis,3
advcl,advmod,3
aux:pass,root,3
fixed,punct,3
conj,nummod,3
acl,cop,2
nmod,nummod,2
cop,root,2
det,nsubj,2
advmod,nsubj,2
conj,cop,2
expl:pass,iobj,2
appos,conj,2
cc,mark,2
det,nummod,2
acl,ccomp,2
expl:pass,expl:poss,2
expl:poss,obj,2
ccomp,root,2
advcl,ccomp,2
case,cc,2
fixed,root,2
amod,fixed,2
flat,punct,2
obl,punct,2
mark,punct,2
advcl,aux:pass,2
cc,punct,2
acl,amod,2
fixed,nummod,2
fixed,parataxis,2
nsubj,parataxis,2
advcl,nmod,2
advmod,nmod,2
acl,xcomp,2
amod,det,2
expl,obj,2
aux:pass,conj,2
expl:pass,expl:pv,2
expl,iobj,2
advcl,punct,2
case,expl:pv,1
aux:pass,ccomp,1
advmod,root,1
case,obj,1
advcl,cop,1
advmod,conj,1
expl:pv,fixed,1
advmod,advmod:tmod,1
case,nmod,1
mark,obj,1
expl:pv,mark,1
aux,root,1
fixed,xcomp,1
amod,punct,1
amod,case,1
aux,det,1
appos,nmod,1
appos,parataxis,1
acl,det,1
appos,nummod,1
advmod:tmod,fixed,1
advmod,nummod,1
acl,aux,1
ccomp,conj,1
advcl,nsubj,1
nsubj,punct,1
expl,expl:pv,1
advmod:tmod,det,1
cc,det,1
expl,expl:poss,1
aux,conj,1
case,conj,1
det,root,1
expl:impers,expl:poss,1
advmod,amod,1
conj,dep,1
appos,flat,1
dep,flat,1
det,parataxis,1
nummod,obl,1
amod,nummod,1
amod,obj,1
expl:impers,iobj,1
expl:impers,expl:pass,1
expl:impers,expl:pv,1
flat,nsubj,1
expl,obl,1
iobj,obl,1
expl,nsubj,1
iobj,nsubj,1
cc,nmod,1
advcl,cc,1
aux:pass,cop,1
appos,dep,1
obl,parataxis,1
det,mark,1
obj,parataxis,1
advcl,mark,1
advcl,det,1
case,det,1
advcl,case,1
nsubj:pass,obj,1
fixed,nsubj:pass,1
nsubj:pass,obl,1
nsubj,nsubj:pass,1
expl:pass,obj,1
compound,nsubj,1
compound,parataxis,1
compound,conj,1
compound,nummod,1
cc:preconj,fixed,1
cc:preconj,mark,1
advmod,cc:preconj,1
cc,cc:preconj,1
advmod:tmod,cc,1
